method,sim_seed,N_sim,total_wait,mean_wait_all,mean_wait_served,mean_oracle_outcome_served,num_unserved,frac_unserved,sim_wall_s,alloc_0,alloc_1,N,ipw_value
F,23,5000,280.94642321125065,0.05618928464225013,0.05618928464225013,,0,0.0,0.016335725784301758,0.5826,0.4174,200,0.047332573962992716
S2-linear,23,5000,0.0,0.0,0.0,,0,0.0,0.016273021697998047,0.6986,0.3014,200,0.04277503167255868
S2-lasso,23,5000,0.0,0.0,0.0,,0,0.0,0.0160980224609375,0.6284,0.3716,200,0.04129084485558134
S2-knn,23,5000,17085.744665624734,3.4171489331249467,3.4171489331249467,,0,0.0,0.015705108642578125,0.9384,0.0616,200,0.045102968595256455
random,24,5000,0.0,0.0,0.0,,0,0.0,0.02459096908569336,0.5114,0.4886,200,0.0443782875492678
treat_all,24,5000,10643671.985501308,2128.7343971002615,1803.3774574160664,,1275,0.255,0.014446020126342773,0.0,1.0,200,0.04811333098626983
F,24,5000,0.0,0.0,0.0,,0,0.0,0.016676902770996094,0.587,0.413,200,0.047332573962992716
S2-linear,24,5000,0.0,0.0,0.0,,0,0.0,0.016437053680419922,0.707,0.293,200,0.04277503167255868
S2-lasso,24,5000,0.0,0.0,0.0,,0,0.0,0.01593303680419922,0.6294,0.3706,200,0.04129084485558134
S2-knn,24,5000,0.0,0.0,0.0,,0,0.0,0.016119003295898438,0.9378,0.0622,200,0.045102968595256455
random,25,5000,3947.30440545597,0.7894608810911941,0.7894608810911941,,0,0.0,0.023650646209716797,0.5128,0.4872,200,0.0443782875492678
treat_all,25,5000,11153167.183476366,2230.6334366952733,1926.4045687683215,,1222,0.2444,0.014165163040161133,0.0,1.0,200,0.04811333098626983
F,25,5000,0.49303428985598596,9.860685797119719e-05,9.860685797119719e-05,,0,0.0,0.016965866088867188,0.5936,0.4064,200,0.047332573962992716
S2-linear,25,5000,0.49303428985598596,9.860685797119719e-05,9.860685797119719e-05,,0,0.0,0.01623392105102539,0.6936,0.3064,200,0.04277503167255868
S2-lasso,25,5000,0.49303428985598596,9.860685797119719e-05,9.860685797119719e-05,,0,0.0,0.017355918884277344,0.6338,0.3662,200,0.04129084485558134
S2-knn,25,5000,0.49303428985598596,9.860685797119719e-05,9.860685797119719e-05,,0,0.0,0.01692986488342285,0.937,0.063,200,0.045102968595256455
random,26,5000,135277.40143341466,27.055480286682933,27.055480286682933,,0,0.0,0.0240018367767334,0.493,0.507,200,0.0443782875492678
treat_all,26,5000,11207168.08393507,2241.433616787014,1926.1755376951812,,1252,0.2504,0.014173030853271484,0.0,1.0,200,0.04811333098626983
F,26,5000,334.7681860564773,0.06695363721129546,0.06695363721129546,,0,0.0,0.01664113998413086,0.5892,0.4108,200,0.047332573962992716
S2-linear,26,5000,0.8776439826042295,0.0001755287965208459,0.0001755287965208459,,0,0.0,0.01640772819519043,0.6968,0.3032,200,0.04277503167255868
S2-lasso,26,5000,3.372475371022203,0.0006744950742044406,0.0006744950742044406,,0,0.0,0.016478300094604492,0.6284,0.3716,200,0.04129084485558134
S2-knn,26,5000,165.08972693765827,0.03301794538753165,0.03301794538753165,,0,0.0,0.0165712833404541,0.9334,0.0666,200,0.045102968595256455
random,27,5000,51416.045513877005,10.283209102775402,10.283209102775402,,0,0.0,0.023859024047851562,0.5096,0.4904,200,0.0443782875492678
treat_all,27,5000,11221234.768252801,2244.24695365056,1912.972298959723,,1356,0.2712,0.013880014419555664,0.0,1.0,200,0.04811333098626983
F,27,5000,58.38306087692351,0.011676612175384701,0.011676612175384701,,0,0.0,0.016501903533935547,0.593,0.407,200,0.047332573962992716
S2-linear,27,5000,20.18364726608234,0.004036729453216468,0.004036729453216468,,0,0.0,0.01605510711669922,0.7036,0.2964,200,0.04277503167255868
S2-lasso,27,5000,11.263700807883225,0.002252740161576645,0.002252740161576645,,0,0.0,0.01646280288696289,0.6452,0.3548,200,0.04129084485558134
S2-knn,27,5000,4333.0014627736655,0.8666002925547331,0.8666002925547331,,0,0.0,0.01651287078857422,0.9358,0.0642,200,0.045102968595256455
random,28,5000,25886.772993821643,5.177354598764329,5.177354598764329,,0,0.0,0.023440837860107422,0.5004,0.4996,200,0.0443782875492678
treat_all,28,5000,10917665.540500484,2183.533108100097,1848.9997322864394,,1301,0.2602,0.013908147811889648,0.0,1.0,200,0.04811333098626983
F,28,5000,0.5981368477400694,0.00011962736954801388,0.00011962736954801388,,0,0.0,0.016785860061645508,0.5816,0.4184,200,0.047332573962992716
S2-linear,28,5000,0.5981368477400694,0.00011962736954801388,0.00011962736954801388,,0,0.0,0.016651153564453125,0.7002,0.2998,200,0.04277503167255868
S2-lasso,28,5000,0.5981368477400694,0.00011962736954801388,0.00011962736954801388,,0,0.0,0.016670942306518555,0.6446,0.3554,200,0.04129084485558134
S2-knn,28,5000,0.5981368477400694,0.00011962736954801388,0.00011962736954801388,,0,0.0,0.01654982566833496,0.927,0.073,200,0.045102968595256455
random,29,5000,1937.2343769471006,0.38744687538942013,0.38744687538942013,,0,0.0,0.023953914642333984,0.501,0.499,200,0.0443782875492678
treat_all,29,5000,10607182.37827996,2121.436475655992,1832.4448692054407,,1141,0.2282,0.014075279235839844,0.0,1.0,200,0.04811333098626983
F,29,5000,54.306295276156035,0.010861259055231207,0.010861259055231207,,0,0.0,0.016575098037719727,0.596,0.404,200,0.047332573962992716
S2-linear,29,5000,7.309313726756147,0.0014618627453512295,0.0014618627453512295,,0,0.0,0.01667022705078125,0.7124,0.2876,200,0.04277503167255868
S2-lasso,29,5000,66.56250981620866,0.013312501963241732,0.013312501963241732,,0,0.0,0.016745805740356445,0.6558,0.3442,200,0.04129084485558134
S2-knn,29,5000,2918.9517961787756,0.5837903592357551,0.5837903592357551,,0,0.0,0.016581296920776367,0.9352,0.0648,200,0.045102968595256455
random,0,5000,0.5678012377599861,0.00011356024755199723,0.00011356024755199723,,0,0.0,0.0237429141998291,0.504,0.496,1000,0.0443782875492678
treat_all,0,5000,10356883.990571119,2071.3767981142237,1778.4242252926815,,1117,0.2234,0.014199972152709961,0.0,1.0,1000,0.04811333098626983
F,0,5000,3.9136778970734687,0.0007827355794146937,0.0007827355794146937,,0,0.0,0.01651930809020996,0.5282,0.4718,1000,0.0476605609551072
S2-linear,0,5000,41.58527240336689,0.008317054480673379,0.008317054480673379,,0,0.0,0.0163419246673584,0.4954,0.5046,1000,0.047616937794216135
S2-lasso,0,5000,0.0,0.0,0.0,,0,0.0,0.016474008560180664,0.6132,0.3868,1000,0.047812800568051206
S2-knn,0,5000,407.55929550425674,0.08151185910085135,0.08151185910085135,,0,0.0,0.016161680221557617,0.823,0.177,1000,0.046887314208736826
random,1,5000,130502.09923208039,26.100419846416077,26.100419846416077,,0,0.0,0.023322105407714844,0.5128,0.4872,1000,0.0443782875492678
treat_all,1,5000,11473583.335236406,2294.716667047281,1976.118022446864,,1309,0.2618,0.013915300369262695,0.0,1.0,1000,0.04811333098626983
F,1,5000,38029.482140260785,7.605896428052157,7.605896428052157,,0,0.0,0.01647472381591797,0.528,0.472,1000,0.0476605609551072
S2-linear,1,5000,209231.115084872,41.8462230169744,41.8462230169744,,0,0.0,0.016307830810546875,0.5068,0.4932,1000,0.047616937794216135
