method,sim_seed,N_sim,total_wait,mean_wait_all,mean_wait_served,mean_oracle_outcome_served,num_unserved,frac_unserved,sim_wall_s,alloc_0,alloc_1,N,ipw_value
S2-linear,11,1000,823.6981135261027,0.8236981135261027,0.8236981135261027,,0,0.0,0.0025124549865722656,0.726,0.274,100,12.431010138352692
S2-lasso,11,1000,137.27424166954773,0.13727424166954774,0.13727424166954774,,0,0.0,0.0025119781494140625,0.928,0.072,100,21.60882386602861
S2-knn,11,1000,11497.394142153593,11.497394142153594,11.497394142153594,,0,0.0,0.002410888671875,0.992,0.008,100,21.583185949062536
random,12,1000,154975.90468594158,154.97590468594157,137.5542002340137,,43,0.043,0.003773212432861328,0.505,0.495,100,12.197121356427091
treat_all,12,1000,653128.7702595042,653.1287702595042,520.7840889297278,,548,0.548,0.0022325515747070312,0.0,1.0,100,2.1439523396007845
F,12,1000,320.8046105193066,0.3208046105193066,0.3208046105193066,,0,0.0,0.0025115013122558594,0.908,0.092,100,21.381223038371278
S2-linear,12,1000,380.287421129042,0.380287421129042,0.380287421129042,,0,0.0,0.0025529861450195312,0.704,0.296,100,12.431010138352692
S2-lasso,12,1000,1049.7292159963006,1.0497292159963005,1.0497292159963005,,0,0.0,0.0025060176849365234,0.926,0.074,100,21.60882386602861
S2-knn,12,1000,22089.91639043306,22.08991639043306,22.08991639043306,,0,0.0,0.0023484230041503906,0.99,0.01,100,21.583185949062536
random,13,1000,193011.8423916673,193.0118423916673,154.24967342391977,,90,0.09,0.0038232803344726562,0.477,0.523,100,12.197121356427091
treat_all,13,1000,663743.1805892583,663.7431805892584,509.5163964689887,,567,0.567,0.0022330284118652344,0.0,1.0,100,2.1439523396007845
F,13,1000,68.19977591528132,0.06819977591528133,0.06819977591528133,,0,0.0,0.0025551319122314453,0.911,0.089,100,21.381223038371278
S2-linear,13,1000,136.64397976750777,0.13664397976750778,0.13664397976750778,,0,0.0,0.002509593963623047,0.72,0.28,100,12.431010138352692
S2-lasso,13,1000,78.97281441868681,0.07897281441868681,0.07897281441868681,,0,0.0,0.0025386810302734375,0.92,0.08,100,21.60882386602861
S2-knn,13,1000,8108.32460571522,8.10832460571522,8.10832460571522,,0,0.0,0.0023877620697021484,0.996,0.004,100,21.583185949062536
random,14,1000,181114.9765548236,181.1149765548236,169.27766107203314,,32,0.032,0.0038645267486572266,0.503,0.497,100,12.197121356427091
treat_all,14,1000,701185.0366679451,701.185036667945,582.108690561215,,535,0.535,0.00237274169921875,0.0,1.0,100,2.1439523396007845
F,14,1000,2.851222285764896,0.002851222285764896,0.002851222285764896,,0,0.0,0.0027687549591064453,0.892,0.108,100,21.381223038371278
S2-linear,14,1000,11583.147811028193,11.583147811028192,11.583147811028192,,0,0.0,0.0025510787963867188,0.719,0.281,100,12.431010138352692
S2-lasso,14,1000,120.25426056972778,0.12025426056972778,0.12025426056972778,,0,0.0,0.002583742141723633,0.926,0.074,100,21.60882386602861
S2-knn,14,1000,1030.2230096795627,1.0302230096795626,1.0302230096795626,,0,0.0,0.002531766891479492,0.993,0.007,100,21.583185949062536
random,15,1000,133436.6992383413,133.4366992383413,131.2387821828777,,6,0.006,0.003818511962890625,0.523,0.477,100,12.197121356427091
treat_all,15,1000,640730.5898122464,640.7305898122464,520.252610725721,,529,0.529,0.0022530555725097656,0.0,1.0,100,2.1439523396007845
F,15,1000,0.23303619370716966,0.00023303619370716966,0.00023303619370716966,,0,0.0,0.0025529861450195312,0.904,0.096,100,21.381223038371278
S2-linear,15,1000,248.30796434441714,0.24830796434441715,0.24830796434441715,,0,0.0,0.002575397491455078,0.713,0.287,100,12.431010138352692
S2-lasso,15,1000,31.175625943971955,0.031175625943971955,0.031175625943971955,,0,0.0,0.002565145492553711,0.914,0.086,100,21.60882386602861
S2-knn,15,1000,5016.133842830553,5.016133842830553,5.016133842830553,,0,0.0,0.002507925033569336,0.991,0.009,100,21.583185949062536
random,16,1000,115539.4442652433,115.5394442652433,111.44243524771342,,10,0.01,0.003937959671020508,0.497,0.503,100,12.197121356427091
treat_all,16,1000,627305.3332147074,627.3053332147074,486.5550606990829,,507,0.507,0.0023584365844726562,0.0,1.0,100,2.1439523396007845
F,16,1000,5.865270619086175,0.005865270619086175,0.005865270619086175,,0,0.0,0.002605915069580078,0.902,0.098,100,21.381223038371278
S2-linear,16,1000,0.0,0.0,0.0,,0,0.0,0.0026407241821289062,0.725,0.275,100,12.431010138352692
S2-lasso,16,1000,0.0,0.0,0.0,,0,0.0,0.0026350021362304688,0.925,0.075,100,21.60882386602861
S2-knn,16,1000,0.0,0.0,0.0,,0,0.0,0.0026137828826904297,0.992,0.008,100,21.583185949062536
random,17,1000,138634.67953500705,138.63467953500705,128.82095030397923,,23,0.023,0.0039234161376953125,0.498,0.502,100,12.197121356427091
treat_all,17,1000,654641.6609505829,654.641660950583,513.0342970106116,,521,0.521,0.002363920211791992,0.0,1.0,100,2.1439523396007845
F,17,1000,0.0,0.0,0.0,,0,0.0,0.0026044845581054688,0.893,0.107,100,21.381223038371278
S2-linear,17,1000,577.4580632609634,0.5774580632609634,0.5774580632609634,,0,0.0,0.0026128292083740234,0.713,0.287,100,12.431010138352692
S2-lasso,17,1000,0.0,0.0,0.0,,0,0.0,0.002604246139526367,0.915,0.085,100,21.60882386602861
S2-knn,17,1000,0.0,0.0,0.0,,0,0.0,0.002592802047729492,0.985,0.015,100,21.583185949062536
random,18,1000,150575.6709708243,150.57567097082432,139.69106715996216,,29,0.029,0.0037848949432373047,0.517,0.483,100,12.197121356427091
treat_all,18,1000,643255.0449234799,643.2550449234799,523.5190602198134,,546,0.546,0.0022385120391845703,0.0,1.0,100,2.1439523396007845
F,18,1000,632.5296772907445,0.6325296772907445,0.6325296772907445,,0,0.0,0.0025060176849365234,0.89,0.11,100,21.381223038371278
S2-linear,18,1000,68.92270558786959,0.06892270558786959,0.06892270558786959,,0,0.0,0.002527952194213867,0.721,0.279,100,12.431010138352692
S2-lasso,18,1000,259.67175106584045,0.25967175106584045,0.25967175106584045,,0,0.0,0.0025255680084228516,0.904,0.096,100,21.60882386602861
S2-knn,18,1000,8946.853789946448,8.946853789946449,8.946853789946449,,0,0.0,0.002462148666381836,0.987,0.013,100,21.583185949062536
random,19,1000,164217.35364486478,164.21735364486477,142.10900801998264,,55,0.055,0.0038199424743652344,0.512,0.488,100,12.197121356427091
treat_all,19,1000,662190.1515407747,662.1901515407748,526.5919794500222,,567,0.567,0.002269744873046875,0.0,1.0,100,2.1439523396007845
F,19,1000,5601.199423634332,5.601199423634331,5.601199423634331,,0,0.0,0.002524137496948242,0.906,0.094,100,21.381223038371278
S2-linear,19,1000,5162.254591460217,5.162254591460217,5.162254591460217,,0,0.0,0.0025262832641601562,0.711,0.289,100,12.431010138352692
S2-lasso,19,1000,6550.104111113771,6.550104111113771,6.550104111113771,,0,0.0,0.002506256103515625,0.91,0.09,100,21.60882386602861
S2-knn,19,1000,16959.146945147244,16.959146945147243,16.959146945147243,,0,0.0,0.002400636672973633,0.99,0.01,100,21.583185949062536
random,20,1000,157554.31133060527,157.55431133060526,144.6249275588808,,33,0.033,0.0038475990295410156,0.513,0.487,100,12.197121356427091
treat_all,20,1000,675069.3321700825,675.0693321700825,538.9650010860904,,546,0.546,0.0023767948150634766,0.0,1.0,100,2.1439523396007845
F,20,1000,771.5870141262901,0.7715870141262902,0.7715870141262902,,0,0.0,0.002559185028076172,0.891,0.109,100,21.381223038371278
S2-linear,20,1000,14596.064683112694,14.596064683112694,14.596064683112694,,0,0.0,0.0025272369384765625,0.706,0.294,100,12.431010138352692
S2-lasso,20,1000,9386.889481498558,9.386889481498558,9.386889481498558,,0,0.0,0.0024254322052001953,0.928,0.072,100,21.60882386602861
S2-knn,20,1000,36910.01227891565,36.91001227891565,36.91001227891565,,0,0.0,0.002359151840209961,0.992,0.008,100,21.583185949062536
random,21,1000,168864.3400959032,168.8643400959032,134.63726178815966,,79,0.079,0.003920316696166992,0.511,0.489,100,12.197121356427091
treat_all,21,1000,674803.942607118,674.8039426071181,516.5075588218635,,590,0.59,0.002345561981201172,0.0,1.0,100,2.1439523396007845
F,21,1000,7238.402479896573,7.238402479896573,7.238402479896573,,0,0.0,0.0025396347045898438,0.92,0.08,100,21.381223038371278
S2-linear,21,1000,7472.545065265433,7.472545065265432,7.472545065265432,,0,0.0,0.0025882720947265625,0.694,0.306,100,12.431010138352692
S2-lasso,21,1000,7834.561138244934,7.8345611382449345,7.8345611382449345,,0,0.0,0.0025320053100585938,0.93,0.07,100,21.60882386602861
