method,sim_seed,N_sim,total_wait,mean_wait_all,mean_wait_served,mean_oracle_outcome_served,num_unserved,frac_unserved,sim_wall_s,alloc_0,alloc_1,alloc_2,alloc_3,alloc_4,alloc_5,alloc_6,alloc_7,alloc_8,alloc_9,N
S2-knn,2,5000,783580.8951271884,156.7161790254377,156.7161790254377,12.292138655022809,0,0.0,0.01701211929321289,0.0922,0.1048,0.1186,0.108,0.0892,0.1018,0.0846,0.087,0.093,0.1208,400
F,3,5000,1857890.0393367703,371.5780078673541,350.8397187323871,16.501944479893787,46,0.0092,0.017161130905151367,0.0998,0.1656,0.0868,0.081,0.1112,0.127,0.074,0.0806,0.0868,0.0872,400
oracle_greedy_no_cap,3,5000,17712669.29646945,3542.53385929389,1588.9845482524986,45.47031236060245,3306,0.6612,0.016546010971069336,0.0,0.8176,0.0114,0.0182,0.0218,0.0248,0.0254,0.022,0.0252,0.0336,400
S2-linear,3,5000,818055.1233776737,163.61102467553474,163.61102467553474,10.736474915962544,0,0.0,0.016976118087768555,0.0928,0.1042,0.101,0.1126,0.0956,0.1238,0.097,0.1112,0.0888,0.073,400
S2-lasso,3,5000,2643305.4437276474,528.6610887455295,401.72149868605885,12.158687809861076,237,0.0474,0.017068862915039062,0.157,0.1226,0.1146,0.1966,0.095,0.0,0.052,0.0868,0.0946,0.0808,400
S2-knn,3,5000,1008046.629782516,201.6093259565032,201.6093259565032,11.387687426667735,0,0.0,0.017129182815551758,0.0886,0.0974,0.1138,0.1188,0.084,0.1056,0.0884,0.0906,0.0898,0.123,400
F,4,5000,1709042.7313033459,341.8085462606692,313.63765858085674,16.082177864394495,59,0.0118,0.017052888870239258,0.0934,0.1624,0.0906,0.0812,0.1122,0.1258,0.0758,0.0872,0.0904,0.081,400
oracle_greedy_no_cap,4,5000,17484391.21008525,3496.87824201705,1470.0164807865485,44.30446151690269,3319,0.6638,0.016400814056396484,0.0,0.8144,0.0106,0.016,0.0202,0.0258,0.0252,0.0278,0.028,0.032,400
S2-linear,4,5000,977892.4561356014,195.57849122712028,195.57849122712028,10.604699614743687,0,0.0,0.016950130462646484,0.0946,0.103,0.1134,0.1166,0.0926,0.1154,0.1078,0.1006,0.0804,0.0756,400
S2-lasso,4,5000,2534941.6678190446,506.9883335638089,373.242193418844,10.868949697086494,250,0.05,0.016981840133666992,0.162,0.12,0.1142,0.199,0.0966,0.0,0.0484,0.079,0.091,0.0898,400
S2-knn,4,5000,926134.0748648741,185.22681497297484,185.22681497297484,11.464382312588931,0,0.0,0.016993045806884766,0.0908,0.098,0.1178,0.1184,0.0906,0.103,0.0856,0.0834,0.0866,0.1258,400
F,0,5000,903097.4895365636,180.61949790731273,180.61949790731273,13.219903681816984,0,0.0,0.03470325469970703,0.0638,0.116,0.0932,0.1096,0.1092,0.0994,0.0844,0.121,0.0962,0.1072,500
oracle_greedy_no_cap,0,5000,17443630.42723575,3488.7260854471497,1458.0657118497675,44.229038146896976,3291,0.6582,0.022598981857299805,0.0,0.814,0.009,0.0158,0.0234,0.0268,0.0248,0.0246,0.0284,0.0332,500
S2-linear,0,5000,1113003.190589552,222.60063811791042,222.60063811791042,13.128264859777957,0,0.0,0.023796796798706055,0.074,0.1328,0.0932,0.1024,0.0788,0.0882,0.1152,0.09,0.1124,0.113,500
S2-lasso,0,5000,14843213.475568563,2968.6426951137128,1189.2960812958474,27.849587686482884,2711,0.5422,0.018634796142578125,0.0902,0.698,0.1242,0.0,0.0,0.0,0.0,0.0,0.0876,0.0,500
S2-knn,0,5000,714088.6659475769,142.81773318951537,142.81773318951537,12.15748750571645,0,0.0,0.02408599853515625,0.1056,0.1012,0.1342,0.1012,0.0952,0.0874,0.1036,0.0682,0.1036,0.0998,500
F,1,5000,1202366.6693217515,240.47333386435028,240.47333386435028,13.081976373553939,0,0.0,0.036081790924072266,0.0712,0.1146,0.0954,0.1102,0.1042,0.1,0.084,0.1268,0.0882,0.1054,500
oracle_greedy_no_cap,1,5000,18091851.85885469,3618.3703717709377,1544.5286058427796,43.851141744334655,3383,0.6766,0.017633914947509766,0.0,0.822,0.011,0.0172,0.023,0.019,0.0264,0.0232,0.0302,0.028,500
S2-linear,1,5000,1404355.532184939,280.87110643698776,280.87110643698776,13.472787870387046,0,0.0,0.0235745906829834,0.0762,0.1296,0.1012,0.0976,0.0892,0.092,0.0988,0.0842,0.1198,0.1114,500
S2-lasso,1,5000,15362779.929222202,3072.5559858444403,1277.6410886702988,28.259164175122564,2757,0.5514,0.02283477783203125,0.0898,0.6968,0.1234,0.0,0.0,0.0,0.0,0.0,0.09,0.0,500
S2-knn,1,5000,1197125.766055273,239.42515321105458,239.42515321105458,11.658120872174964,0,0.0,0.025210857391357422,0.11,0.1034,0.1352,0.0986,0.0852,0.0906,0.1004,0.072,0.1026,0.102,500
F,2,5000,1225926.7804211278,245.18535608422556,245.18535608422556,13.918394321048236,0,0.0,0.01866888999938965,0.0674,0.1242,0.0966,0.107,0.106,0.0948,0.0804,0.1252,0.0828,0.1156,500
oracle_greedy_no_cap,2,5000,17821376.275666386,3564.2752551332774,1460.6762308102761,44.37504573171899,3361,0.6722,0.016667842864990234,0.0,0.8214,0.0108,0.014,0.02,0.021,0.0264,0.0246,0.0288,0.033,500
S2-linear,2,5000,920254.5715950995,184.0509143190199,184.0509143190199,13.287956664493112,0,0.0,0.017103195190429688,0.0702,0.1308,0.0918,0.0968,0.0904,0.0998,0.1082,0.0908,0.1154,0.1058,500
S2-lasso,2,5000,15143168.593577819,3028.6337187155636,1199.0600787006936,28.50227333362729,2761,0.5522,0.01670098304748535,0.0876,0.7014,0.1238,0.0,0.0,0.0,0.0,0.0,0.0872,0.0,500
S2-knn,2,5000,833142.316297657,166.6284632595314,166.6284632595314,12.763786885477002,0,0.0,0.017108917236328125,0.104,0.1098,0.1384,0.0994,0.0906,0.0854,0.1008,0.0752,0.099,0.0974,500
