method,sim_seed,N_sim,total_wait,mean_wait_all,mean_wait_served,mean_oracle_outcome_served,num_unserved,frac_unserved,sim_wall_s,alloc_0,alloc_1,N,ipw_value
S2-lasso,23,5000,0.0,0.0,0.0,,0,0.0,0.015352964401245117,0.7766,0.2234,200,0.045202667490557805
S2-knn,23,5000,0.0,0.0,0.0,,0,0.0,0.015358924865722656,0.7592,0.2408,200,0.04494258989303332
random,24,5000,0.0,0.0,0.0,,0,0.0,0.022220134735107422,0.5114,0.4886,200,0.04337750741873452
treat_all,24,5000,10643671.985501308,2128.7343971002615,1803.3774574160664,,1275,0.255,0.013833045959472656,0.0,1.0,200,0.04687417834476838
F,24,5000,0.0,0.0,0.0,,0,0.0,0.015291929244995117,0.5404,0.4596,200,0.04392541735135207
S2-linear,24,5000,544623.9753143981,108.92479506287961,108.92479506287961,,0,0.0,0.015048980712890625,0.458,0.542,200,0.04519950416524283
S2-lasso,24,5000,0.0,0.0,0.0,,0,0.0,0.015120983123779297,0.7624,0.2376,200,0.045202667490557805
S2-knn,24,5000,0.0,0.0,0.0,,0,0.0,0.015178203582763672,0.7542,0.2458,200,0.04494258989303332
random,25,5000,3947.30440545597,0.7894608810911941,0.7894608810911941,,0,0.0,0.022817134857177734,0.5128,0.4872,200,0.04337750741873452
treat_all,25,5000,11153167.183476366,2230.6334366952733,1926.4045687683215,,1222,0.2444,0.014028072357177734,0.0,1.0,200,0.04687417834476838
F,25,5000,48.9224935800535,0.0097844987160107,0.0097844987160107,,0,0.0,0.015421867370605469,0.531,0.469,200,0.04392541735135207
S2-linear,25,5000,590902.2259626265,118.1804451925253,118.1804451925253,,0,0.0,0.015210151672363281,0.4596,0.5404,200,0.04519950416524283
S2-lasso,25,5000,0.49303428985598596,9.860685797119719e-05,9.860685797119719e-05,,0,0.0,0.015237092971801758,0.7556,0.2444,200,0.045202667490557805
S2-knn,25,5000,0.49303428985598596,9.860685797119719e-05,9.860685797119719e-05,,0,0.0,0.015227079391479492,0.7506,0.2494,200,0.04494258989303332
random,26,5000,135277.40143341466,27.055480286682933,27.055480286682933,,0,0.0,0.022053956985473633,0.493,0.507,200,0.04337750741873452
treat_all,26,5000,11207168.08393507,2241.433616787014,1926.1755376951812,,1252,0.2504,0.0140228271484375,0.0,1.0,200,0.04687417834476838
