method,sim_seed,N_sim,total_wait,mean_wait_all,mean_wait_served,mean_oracle_outcome_served,num_unserved,frac_unserved,sim_wall_s,alloc_0,alloc_1,N,ipw_train,ipw_val
S2-knn,8,5000,9115085.189682884,1823.0170379365768,1584.5729257181486,,869,0.1738,0.015496969223022461,0.0796,0.9204,700,0.05246799642067066,0.04738070915245341
random,9,5000,3625.786746453152,0.7251573492906304,0.7251573492906304,,0,0.0,0.023938894271850586,0.5012,0.4988,700,0.037570404295661226,0.04333286138572597
treat_all,9,5000,10792290.742281483,2158.458148456297,1867.6278783204182,,1173,0.2346,0.013932943344116211,0.0,1.0,700,0.04309035144387242,0.048243811203491575
F,9,5000,0.0,0.0,0.0,,0,0.0,0.016062259674072266,0.6514,0.3486,700,0.052572370202134754,0.04615146124870954
S2-linear,9,5000,0.0,0.0,0.0,,0,0.0,0.016006946563720703,0.6786,0.3214,700,0.031129786256161276,0.045543177669676416
S2-lasso,9,5000,0.0,0.0,0.0,,0,0.0,0.016206979751586914,0.7622,0.2378,700,0.039712411557656306,0.04750835726944053
S2-knn,9,5000,8707556.431523643,1741.5112863047286,1527.0634205784324,,763,0.1526,0.015733003616333008,0.082,0.918,700,0.05246799642067066,0.04738070915245341
random,10,5000,50075.80022000923,10.015160044001846,10.015160044001846,,0,0.0,0.0236358642578125,0.5032,0.4968,700,0.037570404295661226,0.04333286138572597
treat_all,10,5000,11101948.75236157,2220.389750472314,1910.9504598892534,,1238,0.2476,0.013911962509155273,0.0,1.0,700,0.04309035144387242,0.048243811203491575
F,10,5000,1.052397044794387,0.00021047940895887738,0.00021047940895887738,,0,0.0,0.015742063522338867,0.6388,0.3612,700,0.052572370202134754,0.04615146124870954
S2-linear,10,5000,2.174844794977595,0.000434968958995519,0.000434968958995519,,0,0.0,0.015681028366088867,0.6738,0.3262,700,0.031129786256161276,0.045543177669676416
S2-lasso,10,5000,1.052397044794387,0.00021047940895887738,0.00021047940895887738,,0,0.0,0.015883922576904297,0.751,0.249,700,0.039712411557656306,0.04750835726944053
S2-knn,10,5000,8949420.525877714,1789.8841051755428,1563.1935181104277,,802,0.1604,0.015535116195678711,0.0872,0.9128,700,0.05246799642067066,0.04738070915245341
random,11,5000,0.9738784306367245,0.0001947756861273449,0.0001947756861273449,,0,0.0,0.02390766143798828,0.5032,0.4968,700,0.037570404295661226,0.04333286138572597
treat_all,11,5000,10574783.867560476,2114.9567735120954,1820.2858302277305,,1079,0.2158,0.014231681823730469,0.0,1.0,700,0.04309035144387242,0.048243811203491575
F,11,5000,1.3008793641189356,0.0002601758728237871,0.0002601758728237871,,0,0.0,0.01607203483581543,0.6376,0.3624,700,0.052572370202134754,0.04615146124870954
